Названия строк	Количество по полю Обобщенный	Среднее по полю ГлубинаН	Среднее по полю ГлубинаО
(TOP (S (NP (PRP ))(VP (VBP )(ADVP (RB ))(VP (VBN )(NP (NP (DT )(NN ))(PP (IN )(SBAR (WHADVP (WRB ))(S (NP (JJ )(NNS ))(VP (VBP )(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (PRP$ )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (NN )(NNS ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (NP (CD ))(PP (IN )(NP (NP (DT )(ADJP (RBS )(JJ ))(NNS ))(PP (IN )(NP (JJ )(JJ )(NN ))))))))))))))))))))))))(. )))	6	26	2,5
(TOP (S (NP (PRP ))(VP (VBP )(CC )(VP (VBP )(S (NP (PRP ))(NP (NP (NNS ))(, )(CC )(NP (NP (CD )(NN ))(NP (NP (CD )(NN ))(ADJP (RB )(JJ )(PP (PP (IN )(NP (NNP )))(CC )(PP (IN )(NP (NP (NNP ))(, )(ADVP (RB ))))))))))))(. )))	9	14	4,333333333
(TOP (S (NP (PRP ))(VP (VBP )(NP (DT )(NN )(NN )))(. )))	3	5	3
(TOP (S (NP (PRP ))(VP (VBP )(NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NN )(NN ))))))(. )))	8	8	3,875
(TOP (S (NP (PRP ))(VP (VBP )(NP (DT )(NNS ))(PP (IN )(NP (NN )(NNS )))(SBAR (IN )(S (NP (PRP ))(VP (VP (VBP )(PP (IN )(NP (CD )(NN ))))(CC )(VP (VBP )(RB )(VP (VB )(PP (IN )(NP (DT )))))))))(. )))	10	11	3,2
(TOP (S (NP (PRP ))(VP (VBP )(NP (JJ )(NN ))(PP (IN )(NP (PRP$ )(NN ))))(. )))	5	6	3,2
(TOP (S (NP (PRP ))(VP (VBP )(NP (NP (CD )(NNS ))(PP (IN )(NP (NNP )(NNP )(CD )(: )))))))	6	7	3,666666667
(TOP (S (NP (PRP ))(VP (VBP )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (NN )(NN ))(PP (TO )(NP (DT )(NN )))))))))))(. )))	2	13	1,5
(TOP (S (NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )(NNS ))))(S (VP (TO )(VP (VB )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (NP (JJ )(NN ))(CC )(NP (NP (PRP$ )(JJ )(NNS ))(PP (IN )(NP (NN )))))))))))(. )))	13	13	4,384615385
(TOP (S (NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NP (NN )(NN )(NN ))(, )(SBAR (WHADVP (WRB ))(S (NP (NP (JJ )(NNS ))(PP (IN )(NP (NN ))))(VP (VBP )(PP (TO )(NP (CD )(NNS )))))))(: )(NP (NP (NP (NNP )(NN ))(PP (IN )(NP (DT )(NN )(NN )(NN ))))(PP (TO )(NP (DT )(NN ))))))))(. )))	10	13	2,6
(TOP (S (NP (PRP ))(VP (VBP )(PP (TO )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS ))(VP (VBG )(PP (IN )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (DT )(NN )(NN )))))))))))(. )))	6	13	2,833333333
(TOP (S (NP (PRP ))(VP (VBP )(RB )(VP (VB )(NP (NP (NNS ))(PP (IN )(NP (NP (NNS )(CC )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(ADVP (RB )(PP (TO )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )))(PP (CC )(PP (TO )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NN )))))))))))))))))(. )))	10	19	4,2
(TOP (S (NP (PRP ))(VP (VBP )(RB )(VP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (DT )(NN )(NN )(NN )))))(, )(ADVP (ADVP (RB )(JJ ))(SBAR (IN )(S (NP (PRP ))(VP (VBP )(NP (NNS ))(PP (IN )(NP (NNS )(CC )(NNS )(NN )))))))))(. )))	11	11	4,181818182
(TOP (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (DT )(JJ )(NN ))(PP (TO )(NP (PRP$ )(NN )))))))(. )))	7	9	4,142857143
(TOP (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (PRP ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (PRP$ )(NN )(NNS )))))))))(. )))	9	11	5,111111111
(TOP (S (NP (PRP ))(VP (VBP )(SBAR (IN )(S (NP (NN )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NNP )(NN )))(, )(S (VP (VBG )(NP (NNP )(NN )(NN )(NN ))(PP (IN )(NP (DT )(NN ))))))))))(. )))	9	12	3,111111111
(TOP (S (NP (PRP ))(VP (VBP )(VP (VBN )(NP (DT )(JJ )(NN ))(S (VP (TO )(VP (VB )(ADVP (RB ))(SBAR (IN )(S (NP (NN )(NNS ))(VP (MD )(ADVP (RB ))(VP (VB )(NP (PRP ))(PP (IN )(NP (PRP$ )(NN )(NN ))))))))))))(. )))	10	14	3,6
(TOP (S (NP (PRP ))(VP (VBZ )(NP (JJ )(NN ))(PP (IN )(NP (NP (NNP )(NNS ))(SBAR (WHNP (WDT ))(S (VP (MD )(VP (VB )(ADVP (RB ))(VP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NN )(NNS )))))))))))))(. )))	14	15	5,928571429
(TOP (S (NP (PRP ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NNS )))))))))))(. )))	1	13	1
(TOP (S (NP (PRP ))(VP (VBZ )(NP (NP (DT )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(ADJP (JJ ))(PP (IN )(NP (NN ))))))))(. )))	1	10	1
(TOP (S (NP (PRP ))(VP (VBZ )(NP (NP (DT )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NN )))))))))))(. )))	1	13	1
(TOP (S (NP (PRP ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (NNS ))(VP (VBG )(PP (IN )(NP (NN ))))))))(. )))	1	10	1
(TOP (S (NP (PRP ))(VP (VP (VBD )(NP (DT )(NN )))(CC )(VP (VBD )(NP (NP (DT )(VBG )(RB ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))))(, )(S (VP (VP (VBG )(NP (DT )(JJ )(NN )))(CC )(VP (VBG )(NP (NP (DT )(JJ )(NN )(NN ))(, )(NP (NN ))(, )(CC )(NP (NN ))))))))(. )))	18	10	4
(TOP (S (NP (PRP ))(VP (VP (VBP )(NP (DT )(NNS )))(CC )(VP (VB )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(NNS ))(SBAR (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VP (VB )(NP (DT )(NN )(NNS )))(, )(CC )(VP (VB )(NP (JJ )(VBG )(NNS ))(NP (CD ))))))))))))))(. )))	13	16	3,692307692
(TOP (S (NP (PRP ))(VP (VP (VBP )(NP (NP (DT )(JJ )(NN ))(PP (IN )(SBAR (WHADVP (WRB ))(S (NP (NNS ))(VP (VBP )(VP (VBN )(PP (IN )(NP (JJ )(NNS ))))))))))(, )(CC )(VP (VBD )))(. )))	5	13	3
(TOP (S (NP (PRP ))(VP (VP (VBP )(NP (NP (DT )(NN )(NN )(NN ))(PP (IN )(NP (NNP )(NN )(NNS )))))(CC )(VP (VBD )(NP (PRP ))(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NNP )(NN )))))))))(. )))	16	11	4,625
(TOP (S (NP (PRP ))(VP (VP (VBP )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (NNS ))(CC )(NP (NP (DT )(NNS ))(PP (IN )(NP (NN )(NNS )(NNS ))))))))(CC )(VP (VBD )(SBAR (WHADVP (WRB ))(S (NP (NNP ))(VP (VBD )(NP (NP (DT )(NN )(NN ))(, )(VP (VBN )(PP (TO )(NP (NP (JJ )(NN )(NNS ))(PP (IN )(NP (NNP ))))))))))))(. )))	12	14	5,083333333
(TOP (S (NP (PRP ))(VP (VP (VBP )(S (NP (DT )(NN ))(VP (TO )(VP (VB )(NP (DT ))))))(, )(SBAR (WHNP (WDT ))(S (VP (MD )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NNP )(NN )(NN ))(NP (CD )(: ))))))))))))	2	12	1,5
(TOP (S (NP (PRP ))(VP (VP (VP (VBD )(NP (NNS ))(PP (IN )(NP (DT )(NN ))))(CC )(VP (VBD )(PP (IN )(NP (NP (JJ )(NNS ))(, )(NP (RB )(NNS ))))))(, )(CC )(VP (VBN )(PP (IN )(NP (JJ )(NNS )))(, )(S (VP (TO )(VP (VB )(NP (DT )(JJ )(NN )(NNS )))))))(. )))	17	9	3,823529412
(TOP (S (NP (PRP$ )(JJ )(NN ))(VP (VBZ )(NP (NP (PDT )(DT )(NNS ))(PP (IN )(NP (NNS ))))(ADVP (RB )))(. )))	1	7	3
(TOP (S (NP (PRP$ )(NN ))(VP (VBZ )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJS )(JJ )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NNS ))))))))))))))(. )))	1	16	3
(TOP (S (NP (PRP$ )(NNS ))(VP (VBP )(NP (NP (NP (NNS ))(, )(NP (NN ))(CC )(NP (JJ )(JJ )(NNS )))(, )(NP (NP (NN )(NNS ))(PP (JJ )(IN )(NP (NP (NN )(NNS ))(PP (IN )(NP (JJ )(NN )(NNS ))))))(, )(CC )(NP (NN )(NN )(NNS ))))(. )))	13	10	3,615384615
(TOP (S (PP (IN )(ADVP (RB )))(PP (IN )(NP (PRP )))(VP (MD )(VP (VB )(PP (TO )(NP (JJ )(NNS )))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN )(NNS )))))))))(. )))	9	11	3,444444444
(TOP (S (PP (IN )(IN )(NP (NP (DT )(JJR )(NN ))(PP (IN )(NP (NNS )))(PP (IN )(NP (NN )))))(, )(NP (DT )(JJ )(NN )(NN ))(VP (VP (VBZ )(ADJP (ADJP (JJR ))(PP (IN )(NP (DT )(NN )(NN )(NN )))))(, )(CC )(VP (MD )(ADVP (RB ))(VP (VB )(SBAR (S (NP (NP (NP (NN ))(PP (IN )(NP (NNS )(CC )(NN )(NNS ))))(, )(CONJP (RB )(RB )(IN ))(NP (NP (NP (NN ))(PP (IN )(NP (NN ))))(PP (IN )(NP (NNS )(NNP )))))(VP (MD )(ADVP (RB ))(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(S (VP (VBG )(NP (JJ )(NNS )))))))))))))(. )))	14	15	4,5
(TOP (S (PP (IN )(NP (CD )(NNS )))(NP (DT )(NN ))(VP (VP (VBZ )(VP (VBG )(ADJP (JJ ))(, )(PP (IN )(NP (CD )(NN )))))(CC )(VP (VBZ )(S (NP (NP (CD )(NN ))(CC )(NP (NP (CD )(NN ))(PP (IN )(NP (CD )(NN )))))(VP (VBZ )(ADVP (RB ))))))(. )))	15	10	3,4
(TOP (S (PP (IN )(NP (DT )(JJ )(JJ )(NNS )))(, )(NP (JJ )(NNS ))(VP (VBP )(VP (VBN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NN ))(PP (IN )(NP (DT )(JJ )(NN )(NN ))))))))(. )))	12	10	3,75
(TOP (S (PP (IN )(NP (DT )(JJ )(NN )(NN )))(, )(ADVP (RB ))(, )(NP (NN )(NN ))(VP (VBZ )(SBAR (WHADVP (WRB ))(S (NP (RBR )(NNS ))(VP (VBP )(VP (VBN )(PP (IN )(S (VP (VBG )(NP (DT )(NN ))))))))))(. )))	9	12	3,222222222
(TOP (S (PP (IN )(NP (DT )(JJ )(NN )))(, )(NP (NP (NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (DT )(NN )(NN )(NN ))))))(VP (VBZ )(PP (TO )(NP (NP (NP (QP (JJR )(IN )(CD ))(NN ))(NN ))(PP (IN )(NP (DT )(NN )(NN ))))))(. )))	12	9	3,333333333
(TOP (S (PP (IN )(NP (DT )(JJ )(NN )))(, )(NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(, )(NP (NP (CD )(CC )(JJR )(NNS ))(VP (VBG )(VP (VBN )(PP (IN )))))(, )(CC )(NP (NP (DT )(NN ))(VP (VBG )(NP (NP (DT )(NNS ))(PP (IN )(NP (DT )(NN ))))))))(. )))	13	10	3,615384615
(TOP (S (PP (IN )(NP (DT )(JJ )(NN )))(NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))(VP (VBZ )(RB )(VP (VB )(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (TO )(NP (DT )(NN )))))(, )(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(NP (NP (NNS ))(PP (IN )(NP (DT )(NN )))))))))(. )))	11	11	3,363636364
(TOP (S (PP (IN )(NP (DT )(JJ )(NN )))(NP (PRP ))(VP (MD )(VP (VB )(SBAR (WHADVP (WRB ))(S (NP (NP (JJ )(NNS ))(PP (IN )(NP (NNS ))))(VP (VBP )(VP (VBN )(NP (NNP ))(NP (NP (NP (DT )(CD )(NNS ))(PP (IN )(NP (DT )(JJ )(NN )(NNS ))))(: )(NP (NP (JJ )(NNS ))(: )(NP (NNP )(NNS ))(: )(NP (NNP )(NNS ))(: )(NP (NNP )(NNS ))))))))))(. )))	13	13	3,461538462
(TOP (S (PP (IN )(NP (DT )(JJ )(NN )))(NP (PRP ))(VP (VBP )(NP (NP (NN ))(VP (VBN )(PP (IN )(NP (NP (JJR )(NN ))(PP (IN )(NP (NP (NNS ))(PP (TO )(NP (NP (NNS ))(, )(VP (VBN )(PP (IN )(NP (NP (NN )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(VP (VBN )(NP (DT )(JJS )(NNS ))(PP (IN )(NP (NP (JJ )(NNS ))(VP (VBG )(PP (IN )(NP (NN )(NNS ))))))))))))))))))))))(. )))	15	24	4,6
(TOP (S (PP (IN )(NP (DT )(JJS )(NNS )))(, )(NP (EX ))(VP (VBZ )(NP (DT )(NN )))(. )))	5	5	2,2
(TOP (S (PP (IN )(NP (DT )(NN )(CC )(NN )(NN )))(, )(NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS )))))(. )))	3	7	3
(TOP (S (PP (IN )(NP (DT )(NN )(NN )(NN )))(, )(PP (IN )(NP (PRP$ )(NN )))(NP (PRP ))(VP (VBP )(RB )(VP (VB )(NP (DT )(JJ )(NN )(NN ))(ADVP (ADVP (RB )(RB ))(SBAR (IN )(S (NP (PRP ))(VP (VBP )(NP (DT )(ADJP (RB )(JJ ))(VP (VBN )(PP (IN )(NP (NNS )))))))))))(. )))	11	13	2,636363636
(TOP (S (PP (IN )(NP (DT )(NN )(NN )(NN )))(NP (NNP ))(VP (VBD )(NP (CD )))(. )))	3	5	3
(TOP (S (PP (IN )(NP (DT )(NN )))(, )(NP (NN )(, )(NN )(, )(NN )(NN ))(VP (VBP )(NP (NP (NNS ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (JJ )(NNS )))))))(. )))	4	9	2,75
(TOP (S (PP (IN )(NP (DT )(NN )))(, )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (CD )(JJ )(NNS ))))(VP (VP (VBZ )(VP (VBN )))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (CD )(NNS ))))))))(. )))	11	10	2,545454545
(TOP (S (PP (IN )(NP (DT )(NN )))(, )(NP (NP (DT )(NNS ))(PP (IN )(NP (JJ )(NN )(NN ))))(VP (VBZ )(VP (VBN )(PP (IN )(ADJP (JJ )))))(. )))	7	7	2,428571429
(TOP (S (PP (IN )(NP (DT )(NN )))(, )(NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (NP (CD )(NNS ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (CD )(NNS )))))))))))))))))(. )))	20	19	5,3
(TOP (S (PP (IN )(NP (DT )(NN )))(, )(NP (PRP ))(VP (VBP )(NP (NP (NP (DT )(NN ))(, )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))(CC )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NNS )(NN ))))))(. )))	9	9	3,111111111
(TOP (S (PP (IN )(NP (DT )(NN )))(, )(PRN (S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (NN ))(PP (JJ )(IN )(NP (NP (NNS ))(, )(NP (NNS )(CC )(NNS )))))))))))))(, )(NP (PRP ))(VP (VBP )(NP (DT )(NN )(PP (IN )(NP (NN ))))(PP (IN )(NP (NN )(NNS )))(PP (TO )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (JJ )(JJ )(NNS ))(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (NN ))))))))))(. )))	7	15	2,428571429
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (NP (DT )(ADJP (JJR )(NN ))(NNS ))(SBAR (S (NP (NP (DT )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (CD )(NNS ))))))(VP (VBZ )(SBAR (S (NP (NP (DT )(JJR )(DT )(NN ))(PP (IN )(NP (NP (CD )(NNS ))(PP (IN )(NP (NN ))))))(VP (VBZ ))))))))(. )))	5	14	2,6
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (NP (NP (DT )(NN ))(PP (IN )(NP (NN )(NNS ))))(PP (TO )(NP (JJ )(NNS ))))(. )(NP (NN ))(. )))	10	7	2,7
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (MD )(VP (VB )(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NN ))(VP (VBN )(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))))))))))))))))(. )))	11	20	3,636363636
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(NP (NNS ))(PP (IN )(NP (NP (DT )(JJ )(NN )(NN )(NN ))(SBAR (S (VP (TO )(VP (VB )(PP (IN )(NP (NP (JJ )(JJ )(JJ )(NNS ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NN ))))))))))))))))(. )))	3	18	3
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (NP (NNS ))(PP (IN )(NP (NNS ))))(SBAR (S (VP (TO )(VP (VB )(S (NP (NP (NN )(NNS ))(VP (VBN )(PP (IN )(NP (NN )))))(VP (VBD )(NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))(S (VP (TO )(VP (VB )(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS )))))))(VP (VBD )(PRT (RP ))(S (VP (TO )(VP (VB )(ADJP (JJ ))(PP (IN )(NP (NN )(NN ))))))))))))))))))))))(. )))	8	24	4,25
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(PP (IN )(NP (NNP )))(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NN ))(, )(SBAR (WHADVP (WRB ))(S (NP (DT )(NNS )(CC )(NNS ))(VP (VBP )(NP (NP (NNS ))(PP (IN )(NP (NN ))))))))))))(. )))	3	14	3
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(S (VP (TO )(VP (MD )(VP (VB )(NP (JJ )(NNS ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (NN ))(VP (VBG )(NP (DT )(JJ )(NN ))(, )(S (VP (VBG )(SBAR (IN )(S (NP (NP (JJ )(NN )(NNS ))(PP (IN )(NP (JJ )(NNS ))))(VP (VBP )(ADJP (JJ )))))))))))))))))(. )))	13	20	3
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (JJ )(NN )(NN ))(S (VP (VBG )(NP (NP (JJ )(NN )(NN ))(PP (JJ )(IN )(NP (NP (JJ )(JJ )(NNS ))(CC )(S (VP (VBG )(NP (NN ))(PP (TO )(NP (PRP )))(S (VP (TO )(VP (VB )(NP (NP (NN )(CC )(NN ))(PP (IN )(NP (JJ )(JJ )(NN ))))))))))))))))))(. )))	20	20	5,9
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (NN )))))))(CC )(VP (VB )(SBAR (WHADVP (WRB ))(S (VP (TO )(VP (VB )(NP (PRP ))(S (VP (TO )(VP (VB )(NP (NP (NNS ))(PP (IN )(NP (NN )(NN )(NN )(NNS )))))))))))))(. )))	6	15	2,5
(TOP (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VP (VBP )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (CD )(NN ))(PP (IN )(NP (NN )))))))))(, )(VP (VBD )(NP (PRP ))(PP (IN )(NP (NN )(NNS ))))(, )(CC )(VP (VB )(PP (IN )(NP (NP (DT ))(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NN )))))))))(. )))	7	12	2,857142857
(TOP (S (PP (IN )(NP (DT )(NNP )(NNS )))(, )(VP (VBZ )(NP (NP (NP (CD )(NN )(NN ))(PP (IN )(NP (NN )(NN )(NNS ))))(VP (VBN )(NP (NN ))(PP (IN )(ADJP (JJ )(PP (IN )(NP (NP (DT )(NNP )(NN ))(SBAR (WHNP (WDT ))(S (ADVP (RB ))(VP (VBZ )(PP (TO )(NP (NP (PRP$ )(NN ))(PP (IN )(NP (NP (JJ )(NN )(JJ )(NN ))(PP (IN )(NP (DT )(NN )))))))))))))))))(. )))	24	19	5,916666667
(TOP (S (PP (IN )(NP (DT )(NNS )))(, )(PP (TO )(NP (NNP )(NNS )))(, )(NP (PRP ))(VP (VBD )(NP (NN )(NN )(NN )(CC )(NN )(NNS ))(ADVP (RB )))(. )))	7	5	2,285714286
(TOP (S (PP (IN )(NP (JJ )(DT )(NN )))(, )(NP (NP (NNS ))(SBAR (WHPP (IN )(WHNP (WDT )))(S (NP (JJ )(NNS ))(VP (VBP )))))(VP (VBP )(VP (VBN )))(. )))	3	7	3
(TOP (S (PP (IN )(NP (JJ )))(, )(S (VP (VBG )(NP (JJ )(NNS ))))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NN )))))(. )))	3	7	3
(TOP (S (PP (IN )(NP (JJS )(NNS )))(, )(NP (NNP ))(VP (VBZ )(PP (IN )(NP (DT )(JJ )(NN )))(PP (TO )(NP (NP (DT )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(ADVP (RB ))(VP (VBN )(PP (IN )(NP (NP (NN ))(PP (IN )(NP (JJ )(JJ ))))))))))))(. )))	6	14	2,5
(TOP (S (PP (IN )(NP (JJS )(NNS )))(, )(S (VP (VBG )(NP (JJ )(NN ))))(VP (VBZ )(ADJP (ADJP (RB )(JJR ))(PP (IN )(S (VP (VBG )(NP (NNS ))(, )(PP (IN )(NP (QP (RB )(CD ))(NN )))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NNS ))))))))))(. )))	18	12	3,777777778
(TOP (S (PP (IN )(NP (NN )(CC )(NN )(NNS )))(, )(NP (PRP$ )(NN ))(VP (VBZ )(ADJP (JJ )))(. )))	3	5	2
(TOP (S (PP (IN )(NP (NN )))(, )(NP (DT )(NN )(CC )(NN )(NNS ))(VP (VBP )(ADJP (JJ ))(ADVP (ADVP (RB )(RB ))(PP (IN )(NP (DT )(NN )(NNS )))))(. )))	2	7	2,5
(TOP (S (PP (IN )(NP (NN )))(, )(NP (DT )(NN ))(VP (VBZ )(S (VP (TO )(VP (VB )(NP (DT )(NN ))(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(VP (VBN )(NP (NNS ))(ADVP (ADVP (RBR ))(PP (IN )(S (ADVP (RB ))(VP (VBG )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))))))))))))))(. )))	10	18	3,1
(TOP (S (PP (IN )(NP (NN )))(, )(PP (IN )(NP (NP (NP (SYM )(CD ))(, )(NP (NN ))(, )(NP (NN ))(, )(NP (CD ))(, )(NP (JJ )(CD )))(: )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (JJ )(NNS ))(SBAR (S (NP (JJ )(NN ))(VP (VBZ )(NP (NP (NNP )(JJ )(NN )(NNP ))(, )(NP (NP (NP (NP (NP (NP (NP (JJ )(NN )(NNP )(NN ))(PP (IN )(NP (DT )(NN )(NN ))))(PP (RB )(NP (ADJP (RB )(JJ ))(NN )(NN ))))(PP (IN )(NP (JJ )(NN )(NN ))))(NP (CD )(NN )(NN )(CD )(NN )))(PP (IN )(NP (CD )(NN )(NN ))))(SBAR (S (NP (NP (CD )(CD )(JJ )(CD )(NN ))(NP (CD )(CD )(NN )))(VP (VBP )(NP (NP (QP (CD )(CD )(CD ))(NN )(NN )(NN )(QP (CD )(CD )(CD )(CD )(CD )))(NN )(NN ))(NP (NP (QP (CD )(CD )(CD )(CD ))(NN ))(SBAR (S (NP (CD )(NN )(NN )(NN )(NN ))(VP (VBP )(NP (NP (QP (CD )(CD ))(NN )(NN )(NN )(NN ))(NP (NP (CD )(CD )(NN ))(NP (NP (CD )(CD ))(CC )(NP (NP (CD )(NN )(NN )(CD )(NN )(NN ))(NP (QP (CD ))(QP (CD )(CD )(CD ))(NN )(NN )))(NP (NP (CD )(NN ))(NP (QP (CD )(CD )(CD )(TO )(CD )(CD ))(NN )(NN )(NN )(NN )(SBAR (S (VP (NN )(NP (NP (CD )(NN )(NN )(CD )(NN )(NN )(NN )(NN )(NN )(CD )(NN ))(SBAR (S (NP (CD )(CD )(CD )(CD )(NN ))(VP (VBP )(NP (NN )(NN )(NN )(CD )(NN )(NN )(NN ))(NP (NP (QP (CD )(CD )(CD )(CD ))(NN )(NN )(NN )(NN ))(SBAR (S (SBAR (S (NP (CD )(CD )(JJ )(NN )(CD )(NN )(CD ))(VP (VBG )(VP (VBN )(NP (DT )(NN )(NN ))(PP (IN )(NP (JJ )(NNS )))))))(, )(S (NP (PRP ))(VP (MD )(ADVP (RB ))(VP (VB )(NP (NP (NN )(NN ))(PP (IN )(NP (PRP )))(PP (IN )(NP (NNS )))))))))))))))))))))))))))))))))))))))(. )))	39	41	3,615384615
